Summary,Type,Description
CR-08: Synchronisation of Production and Disaster Recovery Environments,story,"*Narrative*

Technology Product Owner: Changes made to Configuration Items in Production are replicated to the equivalent CIs in the DR environment, and vice versa, to ensure that it remains synchronised 

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary : CR-08-TC01	Changes made to Configuration Items (CI) (wherever possible) in Production are replicated to the equivalent CIs in the DR environment, and vice versa, to ensure that they remain synchronised. Change Coordinators are required to indicate within the Change Record whether the change will be replicated to the Prod/DR environment and, if not, provide a robust justification
"
DP-06: Direct Marketing Policy,story,"*Narrative*

Refer to the Direct Marketing Policy for control requirements that must be implemented to ensure that personal data is being processed in the correct way.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: DP-06-TC01 Align to the Direct Marketing Policy for all marketing communication to clients / stakeholders.
"
BR-01: Technology Brand,story,"*Narrative*

Contact Antoinette Moodley (Antoinette.Moodley@absa.co.za) to confirm whether or not the system has to follow the Technology Brand Marketing and Communications process

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: BR-01-TC01 Email confirmation on whether or not the Technology Brand Marketing and Communications process has to be followed
Primary: BR-01-TC02 Artifacts generated by the Technology Brand Marketing and Communications process if applicable
"
LA-02: Provisioning Lifecycle,story,"*Narrative*

Technology Product Owner: A provisioning lifecycle has been implemented for the creation, changes and deletion of credentials associated with access control for the system or application.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-02-TC01	Logical access to applications is documented and approved by an authorised individual prior to it being granted, modified or removed in a timely manner
Primary: LA-02-TC02	Separation exists between those requesting, approving and granting application access.
Primary: LA-02-TC03	Dormant user accounts are disabled after predetermined number of days (e.g. 60 days) of inactivity and that the  users line manager is notified accordingly. 
Primary: LA-02-TC04	Locked or disabled user accounts are only reactivated through the Joiner, Mover, Leaver process 
Primary: LA-02-TC05	The application or systems' logical access management lifecycle processes are documented
Primary: LA-02-TC06	The processes for creating, changing or removing access to an application or system are communicated to the end users requiring access.
"
LA-03: User Roles,story,"*Narrative*

Technology Product Owner: Role profiles with appropriate segregation of functional actions have been defined, reviewed and implemented for the system or application.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-03-TC02	Role profiles have been mapped against the functional specification of the application and systems
Secondary: LA-03-TC03	For applications serving internal employees, role profiles have been mapped to the employee's job description
Primary: LA-03-TC04	Role profiles have been reviewed for conflicts with segregation of duties
Primary: LA-03-TC01	Segregation of duty (SOD) conflicts have been documented and applied to user permissions to applications to avoid any SOD conflicts
"
LA-04: Review of Access to Systems and Applications,story,"*Narrative*

Technology Product Owner: Access to a system or application is reviewed periodically to ensure that access rights remain consistent to the requirements, and all unrequired access is removed

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-04-TC01	Periodic review of access to applications (incl. role profiles) is performed
Secondary: LA-04-TC02	After the review of access rights is completed, user accounts that have incorrect access rights are remediated in a timely fashion.
Primary: LA-04-TC03	After the review of access rights is completed, user accounts that have incorrect access rights should be reviewed for unauthorises activity
"
LA-05: Use of Multi Factor Authentication,story,"*Narrative*

Technology Product Owner: Access to a system or application requires the successful validation of multiple authentication credentials.

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-05-TC01	Multiple factors for authentication rely on the use of two separate categories of authentication:
- Something you know - incorporating credentials based on knowledge, such as passwords and pins
- Something you are - incorporating credentials based on the characteristic of the user, such as biometrics
- Something you have - incorporating credentials based on the possession of an artefact, such as a certificate
Primary: LA-05-TC02	A credential that is derived from another credential (even of a different category) should not be considered as a separate credential. For example, for iPhone TouchID, the users fingerprint credential is used to unlock a certificate held by the iPhone. Thus, the fingerprint and the certificate should be considered to be the same factor.
Primary: LA-05-TC03	Where One Time Passwords (OTPs) are used, only one valid instance of that user's OTP may exist at a time. OTP re-issues must overwrite / invalidate the previous one.
"
LA-06: Privileged Access Management,story,"*Narrative*

Technology Product Owner: Privileged access to an application or system is managed and monitored for unauthorised activity

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-06-TC08	Privileged user activity is monitored for unauthorised usage
Primary: LA-06-TC09	The following activities (non exhaustive) should be considered as part of a privileged user role:
- Ability to add or change user roles
- Ability to change global application or system configuration (i.e. configuration affecting all users of the application or system)
- Ability to change application or system source code, including scripts
- Ability to access credential stores
- Ability to access user and application activity and/or audit logs
- Ability to delete  user and application activity and/or audit logs
- Ability to access application data without the application's native access control mechanisms (e.g. access to application data in a database without accessing the application)
Primary: LA-06-TC01	All privileged user account activities on applications and systems are logged and available for auditing during an investigation/audit, where log files are required as input.
Primary: LA-06-TC02	Privileged user account access rights to applications and systems are allocated with predefined expiry times so that the user does not have prolonged access
Secondary: LA-06-TC03	Privileged access rights for applications and systems are assigned user ID's different from those used for regular business activities.
Primary: LA-06-TC04	Confidentiality of generic administrator user IDs and passwords for applications is maintained when shared (example: changing passwords frequently and as soon as possible when privileged user leaves or changes job, communicating passwords among privileged users via appropriate mechanisms.)
Primary: LA-06-TC05	Unauthorised privileged accounts on applications and systems are disabled 
Primary: LA-06-TC06	Periodic review of privileged account to applications and systems (incl. role profiles) is performed
Secondary: LA-06-TC07	Accounts with elevated privileges owned by, or used by, HUGs are considered a Privileged Account as per the Group Security of Information Assets Standard and managed according to that standard.
"
LA-07: Credential Storage,story,"*Narrative*

Technology Product Owner: Credentials should be stored securely in an environment that makes it difficult for credentials to be compromised

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-07-TC01	Passwords should be stored using a secure one way hash, that complies with the organisation's cryptographic standards
Secondary: LA-07-TC02	Passwords should be salted before being hashed
Primary: LA-07-TC03	Access to credential stores should be limited to privileged user roles only
Primary: LA-07-TC04	Access to credential stores should be logged
Secondary: LA-07-TC05	Access to credential stores should be monitored for unusual activity
Primary: LA-07-TC05	Credential store backups should be encrypted, and encryption keys managed as per the organisation's cryptographic standards
Primary: LA-07-TC06	For non password credential stores (e.g. fingerprint data), the credential store should  be encrypted, and encryption keys managed as per the organisation's cryptographic standards
Secondary: LA-07-TC07	User IDs should not be enumerable
"
LA-08: Use of Secure Credentials,story,"*Narrative*

Technology Product Owner: Credentials should be configured for secure usage that reduces complexity for the user, but reduces the potential for a credential compromise

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-08-TC07	Users must supply their existing credential as part of any self service credential change process.
Primary: LA-08-TC01	User account authentication credentials for applications are not divulged to anyone other than the individual responsible for the use of that account
Primary: LA-08-TC02	Users are prompted to change allocated default application and system passwords on first login (including password reset by helpdesk). User is not allowed to proceed until allocated passwords are changed
Primary: LA-08-TC03	A strong password policy for applications and systems is enforced covering complexity, length and expiry Logical Access Management Standard.
Secondary: LA-08-TC04	Application and systems should enable password self-help for the reset of passwords
Primary: LA-08-TC05	Applications and Systems should be able to cater for changes in credential mechanism where applicable (e.g. usage of a different token)
Primary: LA-08-TC06	Password reset and changing operations require the same level of controls as account creation and authentication. 
"
LA-09: Defences Against Credential Compromise,story,"*Narrative*

Technology Product Owner: Applications and Systems must enable measures to prevent credential compromise

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Primary: LA-09-TC01	User accounts (Interactive accounts) are disabled after a maximum number consecutive failed login attempts to an application or system. The account must be disabled for a period of time sufficient to discourage brute force guessing of credentials, but not so long as to allow for a denial-of-service attack to be performed. 

The maximum number may vary according to the nature of the application - suggested parameters are:
- Mobile Device Access: 10 Times
- Mobile Applications: 5 Times
- Web Applications: 3 Times
- Other Systems: 5 Times
Secondary: LA-09-TC02	Systems and applications should require additional human-authentication parameter (e.g. capcha, image recognition), before the final login attempt.
Primary: LA-09-TC03	User access credentials are transported encrypted across all systems, and encryption algorithms are compliant to cryptographic standards
Secondary: LA-09-TC04	Credential capture in applications should be performed securely and appropriate measures should be taken to ensure credential capture cannot be compromised.
Primary: LA-09-TC05	In the case that user authentication fails, error message should not state the reason why the user authentication failed. Error responses must be truly identical in both display and source code
"
AS-14: Logging User Activities and Transactional Processing,story,"*Narrative*

Technology Product Owner: User activities and transactional processing, identified by the Business as being important in relation to its day to day operations and reporting requirements, are adequately and securely logged to provide a suitable audit trail in line with Business needs

*Acceptance Criteria*

All primary test cases completed.

*Test Cases*

Secondary: AS-14-TC20	Use a cryptographic hash function to validate log entry integrity
Primary: AS-14-01	Ensure that all relevant user activities and transactional processing that require to be audited or otherwise retained are identified
Primary: AS-14-02	Logs should be archived and stored in a centralised log management facility.
Primary: AS-14-TC03	Log entries, once created, must be read only. Privileged accounts must not be able to modify logs of their own actions.
Primary: AS-14-TC04	Access to modify or delete log files and data must be subject to a dual control process.
Primary: AS-14-TC05	Log files and data must be protected from unauthorised modification and deletion in transit and in storage.
Primary: AS-14-TC06	Logging controls should support both success and failure of specified security events 
Primary: AS-14-TC07	Ensure logs contain logical access events:
- Successful and failed login attempts 
- Creation, modification and deletion of accounts and access groups 
- Change to access rights
Primary: AS-14-TC08	Ensure log entries that include un-trusted data will not execute as code in the intended log viewing interface or software
Primary: AS-14-TC09	To prevent the threat of information disclosure, do not store sensitive information in logs such as unnecessary system details, session identifiers or passwords 
Primary: AS-14-TC10	All applications must be able to integrate with organisation's security attack monitoring and insider threat capabilities and services. 
Primary: AS-14-TC11	Log all input validation failures
Primary: AS-14-TC12	Log all apparent tampering events, including unexpected changes to state data
Primary: AS-14-TC13	Log attempts to connect with invalid or expired session tokens
Primary: AS-14-TC14	Log all system exceptions
Primary: AS-14-TC15	Log all administrative functions, including changes to the security configuration settings
Primary: AS-14-TC16	Log all backend communication failures
Primary: AS-14-TC17	Log cryptographic module failures
Secondary: AS-14-TC18	Utilize a master routine for all logging operations
Secondary: AS-14-TC19	Ensure that a mechanism exists to conduct log analysis
"
